Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
560.65	60	164.15	0.0060919	18.932	24.796	77.22	42.985	56.308	828.01	-0.098591	26.793	0.10835	0.00168234009431	0.01163968212549
562.3	60	163.7	0.0061088	19.009	24.889	77.386	43.077	56.373	828.18	-0.099164	26.792	0.10858	0.0016769758021	0.01165540961575
563.95	60	163.25	0.0061257	19.086	24.982	77.551	43.168	56.437	828.36	-0.09974	26.792	0.1088	0.00167163222118	0.011671067028
565.6	60	162.8	0.0061426	19.163	25.075	77.716	43.26	56.502	828.54	-0.10032	26.792	0.10903	0.00166632021765	0.01168680896828
567.25	60	162.35	0.0061595	19.24	25.168	77.881	43.352	56.567	828.72	-0.1009	26.793	0.10926	0.00166104407719	0.01170270009982
568.9	60	161.91	0.0061764	19.317	25.262	78.045	43.444	56.633	828.91	-0.10148	26.794	0.10949	0.00165580978075	0.01171794167816
570.55	60	161.47	0.0061932	19.394	25.355	78.209	43.535	56.698	829.1	-0.10206	26.795	0.10972	0.00165062838168	0.01173339024407
572.2	60	161.03	0.0062101	19.471	25.449	78.373	43.627	56.764	829.3	-0.10265	26.796	0.10995	0.00164544417583	0.01174863787373
573.85	60	160.59	0.006227	19.549	25.543	78.537	43.718	56.83	829.5	-0.10323	26.797	0.11018	0.0016403760039	0.01176430001666
575.5	60	160.16	0.0062438	19.626	25.637	78.7	43.81	56.895	829.7	-0.10382	26.799	0.11042	0.00163514597398	0.01177889656959
577.15	60	159.73	0.0062606	19.704	25.73	78.863	43.902	56.962	829.91	-0.10441	26.801	0.11065	0.0016300840427	0.01179376410974
578.8	60	159.3	0.0062775	19.782	25.824	79.025	43.993	57.028	830.13	-0.105	26.804	0.11089	0.00162502743481	0.0118085498765
580.45	60	158.87	0.0062943	19.86	25.919	79.188	44.085	57.094	830.35	-0.10559	26.806	0.11113	0.00161993661697	0.01182320854562
582.1	60	158.45	0.0063111	19.938	26.013	79.35	44.176	57.161	830.57	-0.10618	26.809	0.11137	0.00161498508596	0.01183773746995
583.75	60	158.03	0.0063279	20.016	26.107	79.512	44.268	57.228	830.8	-0.10678	26.812	0.11161	0.00160996651503	0.01185185013847
585.4	60	157.61	0.0063447	20.094	26.202	79.674	44.359	57.295	831.03	-0.10737	26.815	0.11185	0.00160506090891	0.01186636775476
587.05	60	157.19	0.0063615	20.173	26.296	79.835	44.451	57.362	831.26	-0.10797	26.819	0.11209	0.00160010757425	0.01188075581323
588.7	60	156.78	0.0063783	20.251	26.391	79.996	44.542	57.429	831.5	-0.10856	26.823	0.11233	0.00159519628417	0.01189450500117
590.35	60	156.37	0.0063951	20.33	26.486	80.157	44.634	57.497	831.74	-0.10916	26.827	0.11258	0.00159031289516	0.01190832733236
592	60	155.96	0.0064119	20.409	26.581	80.317	44.725	57.564	831.99	-0.10975	26.831	0.11282	0.00158544609732	0.01192205650935
593.65	60	155.55	0.0064287	20.488	26.676	80.478	44.816	57.632	832.24	-0.11035	26.836	0.11307	0.00158068618488	0.01193612651143
